participant_id,slowdown,compensation,sector,dist_positions,dist_degrees,d_prime
5eea402f14742d0999b3410e,20,1,right,1,10,-3.090232306167813
5eea402f14742d0999b3410e,20,1,right,1,10,0.0
5eea402f14742d0999b3410e,20,1,right,1,10,-0.33398237449092977
5eea402f14742d0999b3410e,20,1,right,1,10,0.0
5eea402f14742d0999b3410e,20,1,right,1,10,-0.43993033197168663
5eea402f14742d0999b3410e,20,1,right,1,10,0.0
5eea402f14742d0999b3410e,20,1,right,1,10,0.15413434744875093
5eea402f14742d0999b3410e,20,1,right,1,10,0.0
5eea402f14742d0999b3410e,20,1,right,2,20,0.0
5eea402f14742d0999b3410e,20,1,right,2,20,-0.7571510528365601
5eea402f14742d0999b3410e,20,1,right,2,20,0.0
5eea402f14742d0999b3410e,20,1,right,2,20,0.3250907270293501
5eea402f14742d0999b3410e,20,1,right,2,20,0.0
5eea402f14742d0999b3410e,20,1,right,2,20,2.3255226323814258
5eea402f14742d0999b3410e,20,1,right,3,30,-0.7571510528365601
5eea402f14742d0999b3410e,20,1,right,3,30,0.7726138669342695
5eea402f14742d0999b3410e,20,1,right,3,30,0.0
5eea402f14742d0999b3410e,20,1,right,3,30,-3.090232306167813
5eea402f14742d0999b3410e,20,1,right,4,40,0.7726138669342695
5eea402f14742d0999b3410e,20,1,right,4,40,0.0
5d1aab1fb8fd6c001834e939,12,12,left,1,10,2.248611072594899
5d1aab1fb8fd6c001834e939,12,12,left,1,10,-1.664155433894966
5d1aab1fb8fd6c001834e939,12,12,left,1,10,-2.659505006872356
5d1aab1fb8fd6c001834e939,12,12,left,1,10,-0.21869551036282642
5d1aab1fb8fd6c001834e939,12,12,left,1,10,0.0
5d1aab1fb8fd6c001834e939,12,12,left,1,10,0.0
5d1aab1fb8fd6c001834e939,12,12,left,1,10,0.0
5d1aab1fb8fd6c001834e939,12,12,left,1,10,0.0
5d1aab1fb8fd6c001834e939,12,12,left,2,20,-3.5209596054632706
5d1aab1fb8fd6c001834e939,12,12,left,2,20,0.0
5d1aab1fb8fd6c001834e939,12,12,left,2,20,-2.587830082794458
5d1aab1fb8fd6c001834e939,12,12,left,2,20,0.0
5d1aab1fb8fd6c001834e939,12,12,left,2,20,-0.21869551036282642
5d1aab1fb8fd6c001834e939,12,12,left,2,20,0.0
5d1aab1fb8fd6c001834e939,12,12,left,3,30,0.0
5d1aab1fb8fd6c001834e939,12,12,left,3,30,0.0
