"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"echo-presentation","34","951627","0.0-34.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a35.wav","12","12","full","matched","35","35","2696"
"echo-presentation","35","956279","0.0-35.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a30.wav","12","12","full","matched","30","30","2727"
"echo-presentation","36","962185","0.0-36.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a25.wav","12","12","full","matched","25","25","3138"
"echo-presentation","37","970977","0.0-37.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a20.wav","12","12","full","matched","20","40","3080"
"echo-presentation","38","975691","0.0-38.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a40.wav","12","12","full","matched","40","40","3276"
"echo-presentation","39","981973","0.0-39.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a30.wav","12","12","full","matched","30","40","1674"
"echo-presentation","40","986785","0.0-40.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a35.wav","12","12","full","matched","35","35","3116"
"echo-presentation","41","994923","0.0-41.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","20,25,30,35,40","media/audio/stims/spherical_300cm_s12_c12_cd-full_matched_a25.wav","12","12","full","matched","25","35","4186"
"block-bookend","42","1000209","0.0-42.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"block-bookend","43","1001321","0.0-43.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
"echo-presentation","44","1010249","0.0-44.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-65.wav","20","10","half","matched","-65","-65","4006"
"echo-presentation","45","1015510","0.0-45.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-70,-65,-60,-55,-50","media/audio/stims/spherical_300cm_s20_c10_cd-half_matched_a-65.wav","20","10","half","matched","-65","-65","2727"
