"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","version","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","modelName","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"echo-presentation","23","336627","0.0-23.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-20.wav","spherical","20","1","1","matched","-20","0","1274"
"echo-presentation","24","338543","0.0-24.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a20.wav","spherical","20","1","1","matched","20","20","1151"
"echo-presentation","25","342351","0.0-25.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-20.wav","spherical","20","1","1","matched","-20","-20","2821"
"echo-presentation","26","345080","0.0-26.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-10.wav","spherical","20","1","1","matched","-10","-10","1060"
"echo-presentation","27","347472","0.0-27.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","1108"
"block-bookend","28","350107","0.0-28.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"block-bookend","29","362281","0.0-29.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","","","","","","","","","",""
"echo-presentation","30","365397","0.0-30.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","0","1407"
"echo-presentation","31","368207","0.0-31.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a0.wav","spherical","20","1","1","matched","0","-10","1145"
"echo-presentation","32","370895","0.0-32.0","5f463b6fff834e000b9d679c","60201dea606b8d5e5aa9e528","6020226372486e5ea98a62d9","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36","v1-up-stims","","","","","","","","-20,-10,0,10,20","media/audio/stims/spherical_300cm_s20_c1_cd-1_matched_a-20.wav","spherical","20","1","1","matched","-20","-20","1620"
